,labels,sentences
0,health.stackexchange.com.txt,Are there health issues with gaining 24 pounds in one year if otherwise healthy?
1,stats.stackexchange.com.txt,Why are random effects shrunk towards 0?
2,eosio.stackexchange.com.txt,"In dfuse, how do I use `get_action_traces` to get notifications when certain transaction is created and when it's irreversible?"
3,webmasters.stackexchange.com.txt,Script to determine the SSL certificate assigned to each site
4,lifehacks.stackexchange.com.txt,How do I securely tie my shoes?
5,softwareengineering.stackexchange.com.txt,Does the programming language or database you use have any effect on the selling of your site?
6,robotics.stackexchange.com.txt,Build a drone with a raspberry pi 2 as receiver for the CC3D-LibrePilot
7,parenting.stackexchange.com.txt,Why are parents so concerned about not letting the babies sleep with them?
8,pt.stackoverflow.com.txt,$zero - O que faz e como funciona?
9,eosio.stackexchange.com.txt,"How cpu, ram works for eos and are transactions free?"
10,hsm.stackexchange.com.txt,Which book covers topology historically?
11,stats.stackexchange.com.txt,Statistical test for trend (continuous variable) in Stata or R
12,es.stackoverflow.com.txt,¿Cuál es la diferencia entre String y string?
13,sharepoint.stackexchange.com.txt,Merge SP list data into a word document
14,sitecore.stackexchange.com.txt,Recursive upgradeable lock acquisitions not allowed in this mode exception while accessing Sitecore configuration while initiating the IoC container
15,martialarts.stackexchange.com.txt,What is the best way to avoid armlocks?
16,martialarts.stackexchange.com.txt,How helpful is it to film yourself during training and analyze videos after training?
17,pt.stackoverflow.com.txt,"Como remover do título <title> do painel a palavra ""WordPress""?"
18,japanese.stackexchange.com.txt,"What does ""夢を売る"" mean? sell a dream?"
19,iota.stackexchange.com.txt,How do I generate a wallet from a seed?
20,iot.stackexchange.com.txt,Selecting a microcontroller for a battery operated data collection project
21,iota.stackexchange.com.txt,How can you have side chains and still protect against double spending?
22,tezos.stackexchange.com.txt,"""Missing protocol 'ProtoGenesis' for the current block"" when I lanch a node"
23,mythology.stackexchange.com.txt,Narratives in Haitian (or other) Vodou?
24,philosophy.stackexchange.com.txt,A Marxist Theory of Justice?
25,reverseengineering.stackexchange.com.txt,What's the meaning of dword_XXXX and offset dword_XXXX in IDA?
26,lifehacks.stackexchange.com.txt,How to keep your hands warm in winter while working on a laptop?
27,iot.stackexchange.com.txt,How does URL Remote Access method work?
28,serverfault.com.txt,"SQL Server 2008 Express - ""Best"" backup solution?"
29,korean.stackexchange.com.txt,Difference between 보고싶어 and 보고싶다
30,worldbuilding.stackexchange.com.txt,Stopping a cavalry charge by destroying the ground in front of it?
31,homebrew.stackexchange.com.txt,What can I use for a small-batch fermentation vessel?
32,pm.stackexchange.com.txt,How can a team member moderate a retrospective?
33,tezos.stackexchange.com.txt,How many full nodes on the tezos network?
34,philosophy.stackexchange.com.txt,"Quine's ""to be is to be the value of a bound variable"""
35,stellar.stackexchange.com.txt,Asset type is always credit_alphanum12?
36,or.stackexchange.com.txt,Model or State Uncertainty in Queueing Model due to uncertain arrival rate
37,patents.stackexchange.com.txt,Does this patent apply to the USA
38,rpg.stackexchange.com.txt,Does the paladin's Divine Health feature protect against both common and magical diseases?
39,mechanics.stackexchange.com.txt,Low beam not working in headlight
40,languagelearning.stackexchange.com.txt,Identifying cases by rephrasing to a question – is this any useful for language learners?
41,german.stackexchange.com.txt,"Purpose of ""mich"" in the following translation"
42,russian.stackexchange.com.txt,Why are there verbs derived from ехать but not ездить?
43,puzzling.stackexchange.com.txt,Clueslessly searching for words III
44,lifehacks.stackexchange.com.txt,How can I stop a comb from falling out of clothing pockets?
45,mythology.stackexchange.com.txt,Is there a kami of Aokigahara?
46,webapps.stackexchange.com.txt,Counting unique values based on multiple columns
47,puzzling.stackexchange.com.txt,What is a Nonvocal Word™?
48,or.stackexchange.com.txt,Alternative definition for the value of stochastic solution
49,tezos.stackexchange.com.txt,How long does it take to sync the entire chain?
50,unix.stackexchange.com.txt,Solaris 10 : Remove trailing blank lines from multiple files
51,softwarerecs.stackexchange.com.txt,"Convert an enigmatic string using many common decoding algorithms, to check which one works"
52,sharepoint.stackexchange.com.txt,How to use non-browser forms created by Infopath Filler (published to a Sharepoint Form Library)?
53,mythology.stackexchange.com.txt,Iterative Creation Myths: Rare or Just Obscure?
54,languagelearning.stackexchange.com.txt,What resources do we have to learn German using our phone?
55,esperanto.stackexchange.com.txt,How does one build correlatives
56,movies.stackexchange.com.txt,How did Fawkes find the Chamber of Secrets?
57,italian.stackexchange.com.txt,"Qual è il significato di ""stigmate antonomastiche"" in questo brano?"
58,mechanics.stackexchange.com.txt,How to replace the fuse for both indicators on a Nissan Wingroad 2004?
59,homebrew.stackexchange.com.txt,Is a donation jar (for homebrew supplies) legal in the United States?
60,serverfault.com.txt,Virtual PC Performance Issue on 64-bit Vista
61,mythology.stackexchange.com.txt,How did Poseidon became lord of Helicon?
62,politics.stackexchange.com.txt,"Did Angela Merkel break ""the"" law by opening the borders to refugees?"
63,gamedev.stackexchange.com.txt,The recommended road map to be a good graphics/game engine programmer
64,writers.stackexchange.com.txt,How do you know when to give up on a writing project?
65,pm.stackexchange.com.txt,What are the required documents should I prepare In order to start my Project
66,tex.stackexchange.com.txt,paragraph design and single lines
67,opendata.stackexchange.com.txt,How do we query the college score card and just get all data but only for a given year?
68,sqa.stackexchange.com.txt,How to get coordinates of element inside iframe?
69,photo.stackexchange.com.txt,"What does ""maximum aperture"" mean in a camera spec? Where can I get the full aperture range?"
70,history.stackexchange.com.txt,Were there ever any libraries in medieval villages?
71,sharepoint.stackexchange.com.txt,Success Audit spamming event log
72,languagelearning.stackexchange.com.txt,Learning Indonesian (bahasa Indonesia) on my own
73,english.stackexchange.com.txt,How do I make correct referencing?
74,islam.stackexchange.com.txt,Drew animate things before knowing it is sin
75,graphicdesign.stackexchange.com.txt,Best file type of picture for print
76,lifehacks.stackexchange.com.txt,Diesel fuel smell out of clothing?
77,health.stackexchange.com.txt,What is the physiological process that would cause one to void more than once in the morning?
78,german.stackexchange.com.txt,"What's the difference between ""voll"" and ""völligen""?"
79,graphicdesign.stackexchange.com.txt,Can anyone identify this slab serif font that's perfect for branding some blue-collar organisations?
80,gardening.stackexchange.com.txt,What are the solid chunks in the top my carrots?
81,gamedev.stackexchange.com.txt,Why texture coordinate of flat surface reflection is calculated like this in fragment shader?
82,hardwarerecs.stackexchange.com.txt,External fan for over-heating laptop
83,vegetarianism.stackexchange.com.txt,Do some varieties of rice contain less arsenic?
84,genealogy.stackexchange.com.txt,Losing FamilySearch.org functionality from links to digital images. What am I doing wrong?
85,ux.stackexchange.com.txt,"Just made a web template, what changes should I make?"
86,history.stackexchange.com.txt,Did Japan perceive their hypergrowth as stable and unstoppable as the United States did?
87,languagelearning.stackexchange.com.txt,Identifying cases by rephrasing to a question – is this any useful for language learners?
88,freelancing.stackexchange.com.txt,How to control the clients sales funnel?
89,esperanto.stackexchange.com.txt,"What is the correct way to say ""to ask a question""?"
90,sports.stackexchange.com.txt,What kind of ball is used in the FIFA World Cup?
91,physics.stackexchange.com.txt,What are the best astronomy blogs and podcasts?
92,superuser.com.txt,trying to get antivirus policy changed
93,ja.stackoverflow.com.txt,Scala: クラス定義を追加すると、scala コマンドで main メソッドが実行されなくなる
94,magento.stackexchange.com.txt,How can I display all anchor categories even with no result (empty category)?
95,politics.stackexchange.com.txt,Does international law allow for recognising a different government than the one having operational control?
96,stellar.stackexchange.com.txt,How do I verify an asset that I've created on the Stellar Transaction builder?
97,quant.stackexchange.com.txt,economic facts that causes the financial time series to be heavy tailed
98,monero.stackexchange.com.txt,Why does the stealth address involve a hash function?
99,gaming.stackexchange.com.txt,Do I need to ascend the perk trees in order?
100,esperanto.stackexchange.com.txt,"Did the writer George Orwell hate Esperanto, and why if it is the case?"
101,ham.stackexchange.com.txt,Simulating two antennas (transmitter and receiver) using 4nec2 tool
