,0 (n=103),1 (n=125),2 (n=109),3 (n=110),4 (n=72),5 (n=101),6 (n=103),7 (n=86),8 (n=100),9 (n=91)
0 (n=103),0.0732938756328176,0.00022886059491065958,0.0002210573454467481,0.00022994316101444532,0.0,0.0003597180115739174,0.001471328215997554,0.0004313572802108037,0.0004046971982244046,0.0004276582932847974
1 (n=125),0.0,0.2713036808930799,0.0005844654454767431,0.0005215134522508068,0.0,0.000595264942319324,0.0,0.0,0.0,0.0
2 (n=109),0.0017996335874152143,0.007131617519914938,0.0432383204880009,0.0013357268048190098,0.00024361029400760058,0.000571882933250247,0.00028702213091966384,0.004041258482851103,0.0017779506094114678,0.0011099110795728861
3 (n=110),0.0001030019572737617,0.0054397712876528715,0.0014315927288748548,0.06670241498723663,0.00025357510996816643,0.004936626600768902,0.0006447029777534471,0.0007225294139157798,0.0009871877047675768,0.0014296567799789884
4 (n=72),0.0,0.003775233097819429,7.418221399693641e-05,0.0,0.04648257205188551,0.0,0.0006883517495219397,0.0023781779558806346,0.0,0.014028494031606416
5 (n=101),0.00010962476531031242,0.0025554148691123266,0.0002755379599276235,0.006065106345604244,0.0005612080392788029,0.05614350408810801,0.0016409887089885195,0.0003593466393425952,0.0018846830806942012,0.0020194598416890053
6 (n=103),0.0003387807756343006,0.003582401827007529,0.0,0.0,0.0005282539799700307,0.0006011337808773903,0.09771709178097487,0.0,0.0006937014784914636,0.0
7 (n=86),0.00023295974519182906,0.006144904602227509,0.0011673549318154894,0.00015306162443394177,0.001753842693054837,6.486428489271799e-05,0.0,0.07379621406170501,0.00026083588519515904,0.008889431051513822
8 (n=100),0.00073080615988842,0.010250468270754732,0.001287180521411336,0.0027660301088542143,0.0004514018894087684,0.003912508561625101,0.0017551808704513552,0.0008525427726084607,0.046095867710712016,0.0028999090544430074
9 (n=91),0.0001389056275599575,0.0008328314348792044,0.0001468742458914859,0.0002571822692512901,0.00836056438715323,3.688457767565829e-05,0.0,0.00769521825831654,0.00012804163694631526,0.08217346975545482
